"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat May 13 14:21:18 GMT 2023","Sat May 13 14:21:18 GMT 2023","286","","tests.FirstTest","","tests.FirstTest","checkMapsData","Проверка информации об отеле","Проверяем, что информация об отеле, собранная с разных страниц, совппадает"
"broken","Sat May 13 14:21:03 GMT 2023","Sat May 13 14:21:18 GMT 2023","14083","","tests.SecondTest","","tests.SecondTest","checkFavoritesList","Проверка списка 'My next trip'","Проверяем, что нужный отель добавляется в список 'My next trip'"
