"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Web testing","Booking site","Пользовательский сценарий 1: Пользователь просматривает информацию об отеле на разных страницах сайта","0","1","0","0","0"
"Web testing","Booking site","Пользовательский сценарий 2: Пользователь добавляет понравившийся отельв список 'My next trip' и после просматривает данный список.","0","1","0","0","0"
